MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,VesselType
366940480,2017-01-20T10:52:15,52.19421,-178.23297,9.3,93.8,87.0,EARLY DAWN,1001
366940480,2017-01-20T10:53:24,52.19400,-178.22816,9.3,98.6,93.0,EARLY DAWN,1001
366940480,2017-01-20T10:54:31,52.19384,-178.22351,9.3,90.9,88.0,EARLY DAWN,1001
366940480,2017-01-20T10:55:35,52.19368,-178.21904,8.8,87.8,83.0,EARLY DAWN,1001
366940480,2017-01-20T10:56:45,52.19350,-178.21417,9.4,94.0,90.0,EARLY DAWN,1001
366940480,2017-01-20T10:57:51,52.19322,-178.20964,9.1,93.0,84.0,EARLY DAWN,1001
366940480,2017-01-20T10:58:54,52.19312,-178.20538,9.2,91.1,89.0,EARLY DAWN,1001
366940480,2017-01-20T10:59:58,52.19296,-178.20093,8.8,91.7,91.0,EARLY DAWN,1001
366940480,2017-01-20T11:01:05,52.19277,-178.19624,9.6,96.9,89.0,EARLY DAWN,1001
366940480,2017-01-20T11:02:08,52.19261,-178.19185,9.4,95.8,90.0,EARLY DAWN,1001
366940480,2017-01-20T11:03:15,52.19252,-178.18715,9.0,92.8,89.0,EARLY DAWN,1001
366940480,2017-01-20T11:04:24,52.19228,-178.18245,9.4,99.4,88.0,EARLY DAWN,1001
366940480,2017-01-20T11:05:31,52.19215,-178.17782,9.4,97.3,89.0,EARLY DAWN,1001
366940480,2017-01-20T11:06:35,52.19205,-178.17331,9.4,90.7,85.0,EARLY DAWN,1001
366940480,2017-01-20T11:07:45,52.19184,-178.16844,9.4,89.8,86.0,EARLY DAWN,1001
366940480,2017-01-20T11:08:48,52.19160,-178.16404,9.2,89.2,82.0,EARLY DAWN,1001
366940480,2017-01-20T11:09:54,52.19152,-178.15944,9.0,91.3,89.0,EARLY DAWN,1001
366940480,2017-01-20T11:11:01,52.19130,-178.15470,9.6,92.3,91.0,EARLY DAWN,1001
366940480,2017-01-20T11:12:05,52.19116,-178.15014,9.6,92.2,91.0,EARLY DAWN,1001
366940480,2017-01-20T11:13:08,52.19098,-178.14567,9.4,89.2,83.0,EARLY DAWN,1001
366940480,2017-01-20T11:14:11,52.19084,-178.14135,9.0,93.9,89.0,EARLY DAWN,1001
366940480,2017-01-20T11:15:15,52.19066,-178.13691,9.1,88.2,90.0,EARLY DAWN,1001
366940480,2017-01-20T11:16:18,52.19047,-178.13251,9.3,93.2,91.0,EARLY DAWN,1001
366940480,2017-01-20T11:17:24,52.19032,-178.12787,9.6,92.4,88.0,EARLY DAWN,1001
366940480,2017-01-20T11:18:35,52.19017,-178.12283,9.5,95.0,92.0,EARLY DAWN,1001
366940480,2017-01-20T11:19:38,52.19008,-178.11841,9.3,91.5,93.0,EARLY DAWN,1001
366940480,2017-01-20T11:20:44,52.18986,-178.11365,9.4,93.9,90.0,EARLY DAWN,1001
366940480,2017-01-20T11:21:48,52.18960,-178.10909,9.4,94.8,87.0,EARLY DAWN,1001
366940480,2017-01-20T11:22:51,52.18947,-178.10460,9.5,94.4,93.0,EARLY DAWN,1001
366940480,2017-01-20T11:23:54,52.18922,-178.10017,9.4,95.2,89.0,EARLY DAWN,1001
366940480,2017-01-20T11:24:57,52.18908,-178.09563,9.4,94.8,90.0,EARLY DAWN,1001
366940480,2017-01-20T11:26:05,52.18895,-178.09084,9.6,94.5,90.0,EARLY DAWN,1001
366940480,2017-01-20T11:27:11,52.18883,-178.08616,9.3,89.5,85.0,EARLY DAWN,1001
366940480,2017-01-20T11:28:15,52.18869,-178.08159,9.4,99.7,93.0,EARLY DAWN,1001
366940480,2017-01-20T11:29:18,52.18850,-178.07705,9.4,96.4,90.0,EARLY DAWN,1001
366940480,2017-01-20T11:30:24,52.18829,-178.07237,9.8,92.2,87.0,EARLY DAWN,1001
366940480,2017-01-20T11:31:35,52.18810,-178.06736,9.5,91.9,86.0,EARLY DAWN,1001
366940480,2017-01-20T11:32:41,52.18792,-178.06250,9.4,90.1,83.0,EARLY DAWN,1001
366940480,2017-01-20T11:33:45,52.18781,-178.05802,9.4,91.8,88.0,EARLY DAWN,1001
366940480,2017-01-20T11:34:48,52.18764,-178.05358,9.5,95.8,94.0,EARLY DAWN,1001
366940480,2017-01-20T11:35:51,52.18747,-178.04902,9.6,95.1,90.0,EARLY DAWN,1001
366940480,2017-01-20T11:36:55,52.18738,-178.04447,9.6,90.7,89.0,EARLY DAWN,1001
366940480,2017-01-20T11:38:01,52.18719,-178.03960,9.7,92.6,85.0,EARLY DAWN,1001
366940480,2017-01-20T11:39:05,52.18705,-178.03500,9.5,92.4,87.0,EARLY DAWN,1001
366940480,2017-01-20T11:40:08,52.18696,-178.03042,9.7,89.2,92.0,EARLY DAWN,1001
366940480,2017-01-20T11:41:11,52.18676,-178.02616,9.8,102.6,87.0,EARLY DAWN,1001
366940480,2017-01-20T11:42:12,52.18655,-178.02159,9.6,92.3,88.0,EARLY DAWN,1001
366940480,2017-01-20T11:43:15,52.18641,-178.01697,9.8,98.4,85.0,EARLY DAWN,1001
